,,,,,,,
Name,Location,Product Purchased or Reviewed,Interactions,Purchases Made,Amount Spent,Avg. Reviews Left,Product Returns
John Daniels,"Seattle, WA",Klingon Bat'leth Replica,25,4,$325.50,2.5,1
Sarah Maxwell,"Austin, TX",TARDIS Police Box Model,40,6,$480.00,3,0
Peter Chang,"Los Angeles, CA",Starfleet Uniform (TOS),12,2,$170.00,1.8,0
Emily Hartman,"New York, NY",Dalek Plunger Arm Replica,30,5,$410.75,4,2
Roger Clark,"Chicago, IL",Sonic Screwdriver (9th Doctor),22,3,$275.50,2,0
Melissa Jacobs,"Miami, FL",Phaser Rifle (TNG),45,7,$570.00,3.5,1
Brian Foster,"Denver, CO",Weeping Angel Statue,19,2,$220.00,1.5,1
Linda Green,"Portland, OR",Starfleet Communicator (TOS),10,1,$120.00,0,0
Mark Wallace,"San Francisco, CA",K-9 Robot Dog Model,35,5,$390.00,3.8,0
Julia Richardson,"Salt Lake City, UT",Enterprise NCC-1701 Model,50,8,$680.00,4.2,2
Carlos Diaz,"Dallas, TX",TARDIS Keychain,18,3,$110.00,1.2,0
Kimberly Stone,"Houston, TX",Klingon Warship Model,32,4,$450.00,3.6,1
Alan Price,"Miami, FL",Cyberman Helmet,50,10,$800.00,4.4,0
Natalie Turner,"Boston, MA",Dalek Death Ray,14,2,$180.00,2.2,0
Jason Collins,"Seattle, WA",Borg Cube Model,28,5,$550.00,3.1,2
Thomas Reed,"Phoenix, AZ",Sonic Screwdriver (11th Doctor),34,6,$560.00,3.8,1
Andrea Moore,"Nashville, TN",Spock's Ear (TOS),8,1,$150.00,1,0
Benjamin Clark,"New York, NY",K9 Radio-Controlled Robot,45,7,$375.00,3.5,1
Stephanie Scott,"Denver, CO",Starfleet Phaser,16,2,$250.00,1.7,0
David Baker,"Orlando, FL",Captain's Chair Replica (TNG),60,9,$720.00,4.5,1
Elizabeth Hughes,"Los Angeles, CA",TARDIS Interior Console Model,39,5,$400.00,3.2,0
Richard Adams,"Chicago, IL",Doctor Who Sonic Screwdriver,24,3,$325.00,2.6,0
Susan Carter,"Portland, OR",R2-D2 Prop,22,4,$395.00,3,0
Charles Harris,"Austin, TX",Dalek Destroyer Cannon,13,1,$125.00,0.5,0
Olivia Baker,"San Francisco, CA",Borg Drone Mask,30,4,$360.00,3.4,0
Joe Martin,"Detroit, MI",Vulcan Nerf Bat'leth,15,3,$220.00,2.3,1
Michael Stewart,"Atlanta, GA",10th Doctor's Coat,17,2,$240.00,1.9,0
Sandra Young,"Phoenix, AZ",Starfleet Communicator (TNG),48,7,$525.00,4,1
Patrick Lewis,"Seattle, WA",K-9 Robot Dog Model,60,9,$680.00,4.3,0
Heather King,"Denver, CO",Dalek Mutant Container,25,3,$310.00,3.1,1
Daniel Thompson,"Dallas, TX",TARDIS Lamp,35,5,$425.00,3.6,0
Megan Adams,"New York, NY",TARDIS Police Box Model,40,7,$550.00,3.9,1
Jack Simmons,"Portland, OR",Starfleet Uniform (TNG),19,2,$210.00,1.6,0
Anna Collins,"Los Angeles, CA",Cyberman Head Replica,29,4,$360.00,3,0
Greg Campbell,"Boston, MA",Spock's Green Blood (TOS),10,1,$140.00,0,0
Ronald Morgan,"Chicago, IL",R2-D2 Figure (A New Hope),20,3,$270.00,2.1,0
Megan Woods,"Miami, FL",9th Doctor's Suit,60,10,$800.00,4.6,1
Brian Jackson,"Austin, TX",TARDIS Telephone Box,38,5,$440.00,3.4,2
Michelle Patterson,"San Francisco, CA",Enterprise NCC-1701 Model,44,6,$540.00,3.7,0
Michael Kennedy,"Salt Lake City, UT",Cyberleader Helmet,33,5,$470.00,3.4,1
Tiffany Green,"Houston, TX",Dalek Mutant (Classic),17,3,$240.00,2.5,0
Larry Howard,"Dallas, TX",Klingon Cloak,23,4,$380.00,3.2,0
Rachel Bailey,"Portland, OR",TARDIS Desk Lamp,50,8,$640.00,4.3,0
Tim Richards,"Phoenix, AZ",Romulan Warbird Model,15,2,$210.00,1.8,0
Olivia Peters,"San Diego, CA",K-9 Model,34,6,$540.00,4.1,1
Vanessa Jenkins,"Atlanta, GA",Time Lord's Watch,19,3,$330.00,2.9,1
Rebecca Stewart,"Los Angeles, CA",TARDIS Mirror,22,3,$275.00,2.8,1
Gregory Lee,"Chicago, IL",Data's Head Model,24,4,$395.00,3.6,0
Amy Martin,"Miami, FL",Dalek Model (Genesis of the Daleks),31,5,$500.00,3.5,0
Kyle Thomas,"New York, NY",Doctor Who Sonic Screwdriver (12th),10,1,$150.00,1,0
Diana Clark,"Portland, OR",Starfleet PADD,15,3,$250.00,2.2,1
Albert Cooper,"Dallas, TX",Doctor Who Master Replica,21,4,$360.00,3.3,0
Olivia White,"Chicago, IL",TNG Phaser Rifle,32,5,$450.00,3.7,1
Samuel Reed,"Boston, MA",Dalek Robotic Arm,20,3,$330.00,2.5,0
Deborah Johnson,"Atlanta, GA",Spock's Tricorder,28,4,$390.00,3,0
Matthew Turner,"Houston, TX",TARDIS Briefcase,17,2,$200.00,1.9,1
Sophie Lee,"Denver, CO",Klingon Dagger,26,4,$415.00,3,0
Carol Mitchell,"Miami, FL",Cyberman Mask,15,3,$275.00,2.4,0
Raymond Davis,"San Francisco, CA",TARDIS Screwdriver,40,6,$500.00,4,0
